pl_name,pl_orbsmax,pl_radj,pl_dens
55 Cnc e,0.01544,0.17,6.4
CoRoT-10 b,0.1055,0.97,3.7
CoRoT-11 b,0.0436,1.43,0.99
CoRoT-12 b,0.04016,1.44,0.411
CoRoT-13 b,0.051,0.885,2.34
CoRoT-14 b,0.027,1.09,7.3
CoRoT-16 b,0.0618,1.17,0.44
CoRoT-17 b,0.0461,1.02,2.82
CoRoT-18 b,0.0295,1.31,2.2
CoRoT-19 b,0.0518,1.29,0.71
CoRoT-2 b,0.02798,1.466,1.47
CoRoT-21 b,0.0417,1.3,1.36
CoRoT-22 b,0.092,0.435,0.249
CoRoT-23 b,0.048,1.05,3
CoRoT-24 b,0.056,0.33,0.9
CoRoT-24 c,0.098,0.44,1.3
CoRoT-25 b,0.0578,1.08,0.15
CoRoT-26 b,0.0526,1.26,0.28
CoRoT-27 b,0.0476,1.007,12.6
CoRoT-28 b,0.0603,0.955,0.69
CoRoT-29 b,0.0386,0.9,1.45
CoRoT-4 b,0.09,1.19,0.525
CoRoT-5 b,0.04947,1.388,0.217
CoRoT-6 b,0.0855,1.166,2.32
CoRoT-8 b,0.063,0.57,1.6
CoRoT-9 b,0.4021,1.066,0.86
CoRoTID 223977153 b,0.071,0.57,1.1
EPIC 246851721 b,0.07229,1.051,3.1
GJ 1214 b,0.01411,0.254,1.49
GJ 143 b,0.1915,0.233,7
GJ 3470 b,0.0355,0.408,0.8
GJ 357 b,0.035,0.109,5.6
GJ 436 b,0.0291,0.372,1.8
GJ 9827 b,0.0188,0.141,6.93
GJ 9827 c,0.03925,0.111,2.42
GJ 9827 d,0.05591,0.18,2.69
HAT-P-1 b,0.05561,1.319,0.282
HAT-P-12 b,0.0384,0.959,0.3192
HAT-P-16 b,0.0413,1.289,2.42
HAT-P-18 b,0.0559,0.995,0.25
HAT-P-19 b,0.0466,1.132,0.25
HAT-P-20 b,0.0361,0.867,13.78
HAT-P-25 b,0.0466,1.135,0.483
HAT-P-28 b,0.0434,1.212,0.44
HAT-P-32 b,0.03397,1.98,0.108
HAT-P-36 b,0.0241,1.277,1.175
HAT-P-37 b,0.0379,1.178,0.89
HAT-P-38 b,0.0523,0.825,0.59
HAT-P-39 b,0.0509,1.571,0.19
HAT-P-4 b,0.04438,1.274,0.403
HAT-P-42 b,0.0575,1.28,0.61
HAT-P-43 b,0.0443,1.281,0.39
HAT-P-44 b,0.0507,1.242,0.23
HAT-P-45 b,0.0452,1.426,0.38
HAT-P-46 b,0.0577,1.284,0.28
HAT-P-50 b,0.0453,1.288,0.78
HAT-P-51 b,0.05069,1.293,0.178
HAT-P-52 b,0.03694,1.009,0.98
HAT-P-53 b,0.03159,1.318,0.8
HAT-P-54 b,0.04117,0.944,1.118
HAT-P-55 b,0.04604,1.182,0.435
HAT-P-65 b,0.03951,1.89,0.096
HAT-P-66 b,0.04363,1.59,0.242
HAT-P-67 b,0.06505,2.085,0.052
HAT-P-69 b,0.06555,1.676,1.02
HAT-P-70 b,0.04739,1.87,1.54
HAT-P-9 b,0.05287,1.393,0.342
HATS-1 b,0.0444,1.302,1.03
HATS-10 b,0.04491,0.969,0.7
HATS-13 b,0.04057,1.212,0.377
HATS-14 b,0.03815,1.039,1.191
HATS-15 b,0.02712,1.105,1.97
HATS-16 b,0.03744,1.3,1.86
HATS-17 b,0.1308,0.777,3.5
HATS-18 b,0.0174,1.329,1.1169
HATS-2 b,0.023,1.168,1.05
HATS-22 b,0.05025,0.953,3.89
HATS-23 b,0.03397,1.86,0.29
HATS-24 b,0.0238,1.395,1.03
HATS-25 b,0.05163,1.26,0.38
HATS-26 b,0.04735,1.75,0.153
HATS-27 b,0.0611,1.5,0.18
HATS-28 b,0.04131,1.194,0.48
HATS-29 b,0.05475,1.251,0.411
HATS-3 b,0.0485,1.381,0.51
HATS-30 b,0.04354,1.175,0.543
HATS-31 b,0.0478,1.64,0.243
HATS-32 b,0.04024,1.249,0.58
HATS-33 b,0.03727,1.23,0.79
HATS-34 b,0.03166,1.43,0.4
HATS-35 b,0.03199,1.464,0.484
HATS-36 b,0.0523,1.153,
HATS-39 b,0.06007,1.57,0.202
HATS-4 b,0.0362,1.02,1.55
HATS-40 b,0.04997,1.58,0.49
HATS-41 b,0.0583,1.33,5.1
HATS-42 b,0.03689,1.4,0.83
HATS-43 b,0.04944,1.18,0.191
HATS-44 b,0.03649,1.067,0.56
HATS-45 b,0.05511,1.286,0.41
HATS-46 b,0.05367,0.903,0.28
HATS-5 b,0.0542,0.912,0.39
HATS-50 b,0.05046,1.13,0.33
HATS-51 b,0.04639,1.41,0.34
HATS-52 b,0.02498,1.382,1.06
HATS-53 b,0.04753,1.34,0.303
HATS-54 b,0.03763,1.067,0.77
HATS-55 b,0.05412,1.251,0.587
HATS-56 b,0.06043,1.688,0.155
HATS-57 b,0.03493,1.139,2.65
HATS-58 A b,0.05798,1.095,0.96
HATS-59 b,0.06112,1.126,0.7
HATS-59 c,2.504,,
HATS-6 b,0.03623,0.998,0.399
HATS-60 b,0.04708,1.153,0.537
HATS-61 b,0.07908,1.195,2.47
HATS-62 b,0.04163,1.055,0.076
HATS-63 b,0.04026,1.207,0.67
HATS-64 b,0.06562,1.679,0.245
HATS-65 b,0.04497,1.501,0.3
HATS-66 b,0.04714,1.411,2.34
HATS-67 b,0.03032,1.685,0.374
HATS-68 b,0.05071,1.232,0.856
HATS-69 b,0.03211,0.945,0.46
HATS-7 b,0.04012,0.563,0.83
HATS-70 b,0.03632,1.384,6.64
